name,TP,FP,FN,precision,recall,mse
mtcnn_all/Kweisi_Mfume_1,0.9333,0.1083,0.0667,0.8792,0.9333,159.1927
mtcnn_all/Kweisi_Mfume_4,0.966,0.0,0.034,0.966,0.966,6.6633
mtcnn_all/Kweisi_Mfume_5,0.8013,0.0066,0.1987,0.8013,0.8013,23.7591
mtcnn_all/Kyle_Shewfelt_0,0.0,1.0,1.0,0.0,0.0,8.3596
mtcnn_all/Kyle_Shewfelt_1,1.0,0.0,0.0,1.0,1.0,9.5123
mtcnn_all/Kyle_Shewfelt_2,1.0,0.0,0.0,1.0,1.0,15.8169
mtcnn_all/Kyle_Shewfelt_4,1.0,0.0,0.0,1.0,1.0,3.9833
mtcnn_all/Larry_Brown_1,1.0,0.0,0.0,1.0,1.0,7.285
mtcnn_all/Larry_Brown_2,1.0,0.0,0.0,1.0,1.0,7.0125
mtcnn_all/Larry_Flynt_0,1.0,0.0,0.0,1.0,1.0,3.0456
mtcnn_all/Larry_Flynt_1,0.9836,0.0,0.0164,0.9836,0.9836,27.3443
mtcnn_all/Larry_Flynt_2,1.0,0.0,0.0,1.0,1.0,2.373
mtcnn_all/Larry_Nichols_0,0.8281,0.0234,0.1719,0.8281,0.8281,61.4961
mtcnn_all/Larry_Nichols_1,1.0,0.3659,0.0,0.8171,1.0,2882.6738
mtcnn_all/Larry_Wilmore_0,0.9455,0.0182,0.0545,0.9455,0.9455,6.9318
mtcnn_all/Larry_Wilmore_2,0.9841,0.0159,0.0159,0.9841,0.9841,32.0218
mtcnn_all/Laura_Bozzo_0,1.0,0.0,0.0,1.0,1.0,1.9102
mtcnn_all/Laura_Bozzo_1,0.6596,0.0213,0.3404,0.6596,0.6596,1.9016
mtcnn_all/Laura_Bozzo_4,1.0,0.0,0.0,1.0,1.0,3.8545
mtcnn_all/Laura_Bush_1,1.0,0.0,0.0,1.0,1.0,3.7917
mtcnn_all/Laura_Bush_2,1.0,0.0,0.0,1.0,1.0,4.8854
mtcnn_all/Laura_Bush_4,1.0,0.0,0.0,1.0,1.0,11.9448
mtcnn_all/Laura_Bush_5,1.0,0.0,0.0,1.0,1.0,5.3945
mtcnn_all/Laura_Elena_Harring_0,1.0,0.0,0.0,1.0,1.0,3.3891
mtcnn_all/Laura_Elena_Harring_2,1.0,0.0,0.0,1.0,1.0,39.9944
mtcnn_all/Laura_Elena_Harring_4,1.0,0.0,0.0,1.0,1.0,3.3808
mtcnn_all/Laura_Elena_Harring_5,1.0,0.0,0.0,1.0,1.0,23.6647
mtcnn_all/Laura_Flessel_0,1.0,0.0,0.0,1.0,1.0,25.504
mtcnn_all/Laura_Flessel_2,1.0,0.0,0.0,1.0,1.0,2.3597
mtcnn_all/Laura_Linney_0,1.0,0.0,0.0,1.0,1.0,14.1979
mtcnn_all/Laura_Linney_4,1.0,0.0,0.0,1.0,1.0,11.2909
mtcnn_all/Laura_Pausini_0,1.0,0.0,0.0,1.0,1.0,20.1825
mtcnn_all/Laura_Pausini_2,1.0,0.0794,0.0,0.9603,1.0,742.4524
mtcnn_all/Laurence_Fishburne_2,1.0,0.0099,0.0,0.995,1.0,71.2785
mtcnn_all/Laurence_Fishburne_4,0.4923,0.0308,0.5077,0.4923,0.4923,1.1673
mtcnn_all/Laurence_Fishburne_5,1.0,0.0,0.0,1.0,1.0,5.2589
mtcnn_all/Laurence_Tribe_0,1.0,0.0,0.0,1.0,1.0,7.862
mtcnn_all/Laurence_Tribe_5,0.0886,0.1139,0.9114,0.0633,0.0886,352.2975
mtcnn_all/Lauren_Hutton_0,0.9921,0.0079,0.0079,0.9921,0.9921,9.2559
mtcnn_all/Lauren_Hutton_1,1.0,0.0,0.0,1.0,1.0,8.6452
mtcnn_all/Lauren_Hutton_2,1.0,0.0,0.0,1.0,1.0,29.5795
mtcnn_all/Lauren_Hutton_3,1.0,0.0,0.0,1.0,1.0,10.6172
mtcnn_all/Lauren_Hutton_4,0.9804,0.0,0.0196,0.9804,0.9804,10.8284
mtcnn_all/Lauren_Hutton_5,1.0,0.0136,0.0,0.9932,1.0,26.9787
mtcnn_all/Laurie_Laychak_0,1.0,0.0,0.0,1.0,1.0,2.9911
mtcnn_all/Laurie_Laychak_4,1.0,0.0,0.0,1.0,1.0,17.5932
mtcnn_all/Lee_Baca_0,0.9478,0.0,0.0522,0.9478,0.9478,3.7261
mtcnn_all/Lee_Baca_1,1.0,0.0,0.0,1.0,1.0,10.3294
mtcnn_all/Lee_Baca_4,1.0,0.1277,0.0,0.9362,1.0,2315.7367
mtcnn_all/Lee_Byung-woong_0,0.9184,0.0,0.0816,0.9184,0.9184,7.9541
mtcnn_all/Lee_Byung-woong_5,1.0,0.0,0.0,1.0,1.0,5.4128
mtcnn_all/Leland_Chapman_1,1.0,0.0,0.0,1.0,1.0,5.381
mtcnn_all/Leland_Chapman_4,1.0,0.0,0.0,1.0,1.0,5.2564
mtcnn_all/Lena_Olin_0,1.0,0.0,0.0,1.0,1.0,7.2524
mtcnn_all/Lena_Olin_1,1.0,0.0,0.0,1.0,1.0,19.5343
mtcnn_all/Lene_Espersen_1,1.0,0.0,0.0,1.0,1.0,2.7924
mtcnn_all/Lene_Espersen_2,1.0,0.0,0.0,1.0,1.0,7.6724
mtcnn_all/Lene_Espersen_4,1.0,0.0,0.0,1.0,1.0,9.9614
mtcnn_all/Leonid_Kuchma_2,1.0,0.0,0.0,1.0,1.0,5.1885
mtcnn_all/Leonid_Kuchma_4,1.0,0.0286,0.0,0.9857,1.0,130.2729
mtcnn_all/Lesia_Burlak_0,0.8333,0.0,0.1667,0.8333,0.8333,2.8438
mtcnn_all/Lesia_Burlak_2,1.0,0.0,0.0,1.0,1.0,2.1657
mtcnn_all/Lesia_Burlak_3,0.9639,0.0,0.0361,0.9639,0.9639,2.0151
mtcnn_all/Lester_Holt_0,1.0,0.0,0.0,1.0,1.0,4.471
mtcnn_all/Lester_Holt_3,1.0,0.0,0.0,1.0,1.0,6.8097
mtcnn_all/Lester_Holt_4,1.0,0.0,0.0,1.0,1.0,9.3547
mtcnn_all/Leszek_Miller_0,1.0,0.0,0.0,1.0,1.0,3.9979
mtcnn_all/Leszek_Miller_1,1.0,0.0,0.0,1.0,1.0,8.1045
mtcnn_all/Leszek_Miller_3,1.0,0.0,0.0,1.0,1.0,3.5953
mtcnn_all/Leticia_Dolera_2,1.0,0.0,0.0,1.0,1.0,5.7264
mtcnn_all/Leticia_Dolera_4,0.9718,0.0282,0.0282,0.9718,0.9718,5.9401
mtcnn_all/Leticia_Van_de_Putte_0,1.0,0.0042,0.0,0.9979,1.0,12.687
mtcnn_all/Leticia_Van_de_Putte_1,1.0,0.0208,0.0,0.9896,1.0,71.1417
mtcnn_all/Leticia_Van_de_Putte_4,1.0,0.0,0.0,1.0,1.0,14.4798
mtcnn_all/Leuris_Pupo_0,1.0,0.0,0.0,1.0,1.0,9.2064
mtcnn_all/Leuris_Pupo_2,0.6667,0.0,0.3333,0.6667,0.6667,34.875
mtcnn_all/Leuris_Pupo_3,1.0,0.0,0.0,1.0,1.0,14.7727
mtcnn_all/Leuris_Pupo_4,1.0,0.0,0.0,1.0,1.0,3.0027
mtcnn_all/Lewis_Booth_0,0.95,0.0,0.05,0.95,0.95,4.6135
mtcnn_all/Lewis_Booth_2,0.8605,0.0698,0.1395,0.8605,0.8605,4.6424
mtcnn_all/Liane_Janda_1,0.9302,0.0,0.0698,0.9302,0.9302,13.5436
mtcnn_all/Liane_Janda_4,0.6512,0.0,0.3488,0.6512,0.6512,3.2733
mtcnn_all/Lincoln_Chafee_2,1.0,0.0,0.0,1.0,1.0,4.3526
mtcnn_all/Lincoln_Chafee_3,1.0,0.0,0.0,1.0,1.0,8.6365
mtcnn_all/Lincoln_Chafee_5,1.0,0.0,0.0,1.0,1.0,3.1146
mtcnn_all/Linda_Dano_0,0.2278,0.0,0.7722,0.2278,0.2278,2.0902
mtcnn_all/Linda_Dano_2,0.881,0.0,0.119,0.881,0.881,6.9345
mtcnn_all/Linda_Dano_3,0.9574,0.0426,0.0426,0.9574,0.9574,3.4069
mtcnn_all/Linda_Dano_5,1.0,0.0,0.0,1.0,1.0,4.6687
mtcnn_all/Linda_Franklin_0,1.0,0.0,0.0,1.0,1.0,7.0255
mtcnn_all/Linda_Franklin_1,1.0,0.0,0.0,1.0,1.0,6.2552
mtcnn_all/Linda_Franklin_2,1.0,0.0,0.0,1.0,1.0,10.7479
mtcnn_all/Linda_Franklin_4,0.9958,0.0,0.0042,0.9958,0.9958,6.7865
mtcnn_all/Linda_Lingle_2,0.9375,0.0,0.0625,0.9375,0.9375,11.176
mtcnn_all/Linda_Lingle_4,1.0,0.0,0.0,1.0,1.0,13.3608
mtcnn_all/Linda_Mason_4,1.0,0.0042,0.0,0.9979,1.0,34.0859
mtcnn_all/Linda_Mason_5,0.9458,0.0458,0.0542,0.9458,0.9458,19.624
mtcnn_all/Linda_Sanchez_0,1.0,0.0,0.0,1.0,1.0,10.2688
mtcnn_all/Linda_Sanchez_1,1.0,0.0,0.0,1.0,1.0,9.514
mtcnn_all/Linda_Sanchez_2,1.0,0.0,0.0,1.0,1.0,5.3244
mtcnn_all/Linda_Sanchez_4,1.0,0.0,0.0,1.0,1.0,2.9667
