name,TP,FP,FN,precision,recall
viola_all/Li_Zhaoxing_0,0.8409,0.0,0.1591,0.8409,0.8409
viola_all/Li_Zhaoxing_3,1.0,0.0,0.0,1.0,1.0
viola_all/Li_Zhaoxing_4,1.0,0.4925,0.0,0.7537,1.0
viola_all/Loretta_Lynn_Harper_0,1.0,0.0542,0.0,0.9729,1.0
viola_all/Loretta_Lynn_Harper_3,1.0,0.0508,0.0,0.9746,1.0
viola_all/Loretta_Lynn_Harper_4,1.0,0.0,0.0,1.0,1.0
viola_all/Loretta_Lynn_Harper_5,1.0,0.0476,0.0,0.9762,1.0
viola_all/Lorraine_Bracco_0,1.0,0.0597,0.0,0.9701,1.0
viola_all/Lorraine_Bracco_5,1.0,0.234,0.0,0.883,1.0
viola_all/Louisa_Baileche_0,1.0,0.0833,0.0,0.9583,1.0
viola_all/Louisa_Baileche_1,1.0,0.1045,0.0,0.9478,1.0
viola_all/Louisa_Baileche_2,0.9701,0.1642,0.0299,0.8881,0.9701
viola_all/Louis_Van_Gaal_0,1.0,0.2154,0.0,0.8923,1.0
viola_all/Louis_Van_Gaal_1,1.0,0.0042,0.0,0.9979,1.0
viola_all/Louis_Van_Gaal_4,1.0,0.0,0.0,1.0,1.0
viola_all/Lou_Lang_0,1.0,0.0333,0.0,0.9833,1.0
viola_all/Lou_Lang_5,0.9762,0.4048,0.0238,0.7857,0.9762
viola_all/Lubomir_Zaoralek_2,1.0,0.0,0.0,1.0,1.0
viola_all/Lubomir_Zaoralek_5,1.0,0.0,0.0,1.0,1.0
viola_all/Lucia_Kenny_Anthony_0,1.0,0.0435,0.0,0.9783,1.0
viola_all/Lucia_Kenny_Anthony_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lucia_Kenny_Anthony_4,1.0,0.0,0.0,1.0,1.0
viola_all/Lucia_Kenny_Anthony_5,1.0,0.234,0.0,0.883,1.0
viola_all/Lucio_Stanca_0,1.0,0.0051,0.0,0.9974,1.0
viola_all/Lucio_Stanca_2,0.9958,0.0,0.0042,0.9958,0.9958
viola_all/Lucio_Stanca_3,1.0,0.0,0.0,1.0,1.0
viola_all/Lucio_Stanca_4,1.0,0.0103,0.0,0.9948,1.0
viola_all/Luc_Montagnier_2,1.0,0.0125,0.0,0.9938,1.0
viola_all/Luc_Montagnier_4,1.0,0.0,0.0,1.0,1.0
viola_all/Luc_Montagnier_5,1.0,0.0267,0.0,0.9867,1.0
viola_all/Ludivine_Sagnier_0,1.0,0.0842,0.0,0.9579,1.0
viola_all/Ludivine_Sagnier_3,1.0,0.0,0.0,1.0,1.0
viola_all/Luis_Ernesto_Derbez_Bautista_0,1.0,0.0,0.0,1.0,1.0
viola_all/Luis_Ernesto_Derbez_Bautista_1,1.0,0.0196,0.0,0.9902,1.0
viola_all/Luis_Ernesto_Derbez_Bautista_5,0.9818,0.0,0.0182,0.9818,0.9818
viola_all/Luis_Fonsi_2,1.0,0.0,0.0,1.0,1.0
viola_all/Luis_Fonsi_4,1.0,0.0465,0.0,0.9767,1.0
viola_all/Luis_Fonsi_5,1.0,0.0317,0.0,0.9842,1.0
viola_all/Luiz_Inacio_Lula_da_Silva_2,1.0,0.0909,0.0,0.9545,1.0
